px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
5.54651	-12.5706	-2.70127	-0.745903	-0.99631	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.15309	L
5.42107	-12.4539	-2.80402	-0.802362	-1.00241	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.99034	R
5.25908	-12.3752	-2.85284	-0.813543	-0.960759	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	1.59342	L
5.16011	-12.2807	-2.75626	-0.855338	-0.945834	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.08332	R
5.02205	-12.1879	-2.78665	-0.875797	-0.915902	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.784941	L
4.92571	-12.0739	-2.81031	-0.91956	-0.913836	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.394195	R
4.81477	-11.9846	-2.81924	-0.939922	-0.890107	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.594154	L
4.72066	-11.8547	-2.85248	-0.987605	-0.889973	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.138427	R
4.63812	-11.7258	-2.84769	-1.0353	-0.888936	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0197164	L
4.59139	-11.6252	-2.61255	-1.08548	-0.885957	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	4.74952	R
4.53008	-11.5095	-2.59526	-1.13069	-0.883293	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.219023	L
4.41138	-11.3172	-3.10713	-1.15911	-0.8717	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	23.6497	R
4.3775	-11.1654	-3.09799	-1.22052	-0.889241	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.264165	L
4.38086	-11.0547	-2.72977	-1.29551	-0.91658	4.43713	-11.024	4.45	-11.05	0	1.81614	12.3772	R
4.37223	-10.908	-2.71362	-1.36401	-0.93474	4.45136	-10.93	4.45	-10.95	0	1.81612	0.398362	L
4.35067	-10.7615	-2.71324	-1.41864	-0.937917	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0969836	R
4.36435	-10.6136	-2.69921	-1.49108	-0.958801	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.568854	L
4.36219	-10.4704	-2.68971	-1.54654	-0.9618	4.46329	-10.5756	4.45	-10.5	0	2.729	0.239365	R
4.38252	-10.3221	-2.68676	-1.61276	-0.975021	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.211899	L
4.40386	-10.1797	-2.6636	-1.6748	-0.984484	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.229329	R
4.45553	-10.0306	-2.67113	-1.75142	-1.00637	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.53063	L
4.48623	-9.88537	-2.69971	-1.80313	-1.00024	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.461295	R
4.55314	-9.7383	-2.71415	-1.87777	-1.01915	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.427735	L
4.57598	-9.57495	-2.81644	-1.90111	-0.975814	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.06366	R
4.65819	-9.4303	-2.83028	-1.97331	-0.993512	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.492356	L
4.73629	-9.29431	-2.82258	-2.03878	-1.00552	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.421451	R
4.84606	-9.14746	-2.86718	-2.11596	-1.02576	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.637518	L
4.93142	-9.0253	-2.86944	-2.17481	-1.03522	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0953482	R
5.02005	-8.91611	-2.86289	-2.22995	-1.03854	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.0837249	L
5.09428	-8.78886	-2.87632	-2.25399	-0.992042	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.72428	R
5.21626	-8.65904	-2.91398	-2.31652	-0.998712	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.201979	L
5.31862	-8.55363	-2.91886	-2.36501	-0.995675	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0552084	R
5.43197	-8.44777	-2.93736	-2.41634	-0.996687	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0416825	L
5.51815	-8.33867	-2.90349	-2.43097	-0.93871	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.37474	R
5.61779	-8.24445	-2.86033	-2.47433	-0.932208	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.362572	L
5.69059	-8.12777	-2.8139	-2.46642	-0.847312	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.86599	R
5.82637	-8.01573	-2.85791	-2.51114	-0.844519	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.247852	L
5.91723	-7.90654	-2.81626	-2.5124	-0.777647	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.14661	R
6.05249	-7.79965	-2.85298	-2.55042	-0.772491	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.240301	L
6.13756	-7.6926	-2.78332	-2.54001	-0.693046	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.56901	R
6.26708	-7.59471	-2.80314	-2.57267	-0.687677	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.152584	L
6.36184	-7.49555	-2.73945	-2.56808	-0.622766	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.26259	R
6.48413	-7.40676	-2.74193	-2.5964	-0.617429	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.151719	L
6.59836	-7.32438	-2.74987	-2.61938	-0.609465	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.772809	R
6.733	-7.2308	-2.80354	-2.64096	-0.600232	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.458131	L
6.78668	-7.11897	-2.61711	-2.58727	-0.468573	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	14.5655	R
6.90574	-7.02545	-2.63121	-2.60241	-0.458689	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.425079	L
7.03483	-6.95013	-2.64149	-2.62757	-0.458671	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0412338	R
7.16861	-6.85101	-2.68328	-2.63934	-0.445606	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.573646	L
7.24518	-6.7532	-2.54107	-2.60226	-0.351016	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.08279	R
7.37056	-6.6548	-2.57838	-2.60806	-0.337995	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.518172	L
7.52595	-6.60422	-2.69868	-2.66941	-0.407623	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.10986	R
7.65325	-6.52502	-2.72904	-2.6811	-0.399078	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.217455	L
